Depth,Gas Age,[CH4],,
1116.202,4804.829072,574.0162088,,
1122.297,4838.764396,568.2682817,,
1138.108,4922.412457,579.7950411,,
1140.792,4936.801435,570.3555826,,
1143.374,4950.408211,575.7527266,,
1146.943,4970.00559,589.0468121,,
1149.9,4986.789704,586.2859291,,
1152.741,5002.872125,577.8561007,,
1164.529,5069.025106,566.8600162,,
1173.611,5118.434735,570.2057088,,
1176.742,5136.07799,572.3199997,,
1184.012,5178.203541,565.8037601,,
1201.792,5276.94132,550.4780439,,
1207.247,5308.669288,548.6443743,,
1211.37,5333.490618,571.9786532,,
1213.309,5345.288282,575.2319081,,
1216.982,5366.789066,612.9097976,,
1223.043,5401.290013,565.7246771,,
1224.851,5411.645052,564.2422118,,
1229.248,5437.400792,565.5665121,,
1232.313,5455.659055,563.2547568,,
1235.203,5472.879352,573.3304214,,
1240.657,5503.616668,560.3029571,,
1244.78,5528.803663,568.2041556,,
1247.277,5543.620455,573.4285933,,
1252.96,5577.371734,567.7095958,,
1256.301,5596.912374,577.5578753,,
1264.976,5650.090547,587.0717089,,
1268.34,5671.505008,572.4251508,,
1276.669,5722.824626,576.1148902,,
1279.622,5741.718303,591.6709323,,
1282.675,5761.40739,595.645262,,
1285.688,5780.96178,589.1669573,,
1288.796,5801.486776,588.5395782,,
1291.568,5819.578705,580.0908659,,
1294.409,5837.952445,588.2188125,,
1297.136,5855.526431,619.3075543,,
1300.63,5877.929495,588.2019437,,
1303.04,5893.094688,583.880695,,
1306.08,5912.318054,583.561178,,
1308.957,5930.671842,580.6241289,,
1312.01,5950.50125,584.5826374,,
1315.051,5970.457428,586.2008352,,
1318.418,5994.003422,576.3664573,,
1318.97,5997.863651,576.979326,,
1320.84,6010.619823,576.3721233,,
1322.83,6023.775641,558.4496645,,
1324.61,6035.543156,548.4140202,,
1329.696,6067.727102,565.5247664,,
1332.84,6087.592716,577.1347159,,
1335.749,6105.918646,583.1559289,,
1338.648,6124.011388,591.3722245,,
1341.665,6143.478577,602.6462821,,
1344.791,6164.185872,607.2019273,,
1347.596,6182.81601,599.1105034,,
1353.612,6221.062976,577.0703816,,
1359.5,6259.238809,598.9689215,,
1362.614,6278.79337,593.4297865,,
1365.526,6297.151397,590.1784991,,
1368.379,6316.203869,601.915441,,
1371.185,6334.74917,607.7527644,,
1374.012,6353.166859,607.7279599,,
1377.041,6372.778434,605.1031138,,
1379.964,6391.646649,609.3296238,,
1382.967,6410.286448,600.3995783,,
1385.963,6429.34964,608.0018398,,
1385.963,6429.34964,603.3209468,,
1388.997,6449.671957,585.5613042,,
1392.02,6469.542549,595.7371729,,
1394.951,6488.626414,603.6415093,,
1397.952,6510.022247,599.7420256,,
1399.974,6524.458992,578.5314556,,
1401.984,6537.476217,569.7973669,,
1403.97,6550.32074,582.8565792,,
1405.909,6563.284131,588.9894296,,
1407.939,6577.357525,589.842224,,
1409.938,6591.216005,604.0571647,,
1411.937,6604.513001,601.5315428,,
1415.913,6631.138576,590.6772107,,
1417.879,6644.65849,616.3632235,,
1419.874,6658.377833,609.3901118,,
1421.869,6672.260548,620.2719041,,
1423.848,6686.042848,614.3704522,,
1425.85,6699.902757,603.3451233,,
1427.855,6713.671361,584.0388538,,
