Gas age,CH4 [ppbv]
411.689,690.3
413.554,619.7
413.961,629.6
414.237,628.1
414.826,670.7
415.253,668.2
415.702,657.6
416.197,654.8
416.601,665.4
417.007,673.9
417.467,678.2
417.748,689.1
418.397,684
418.9,671.8
419.239,689.4
419.752,665.2
420.04,648.6
420.471,622.2
420.97,603.5
421.416,605.2
421.492,584.1
421.641,497.5
421.973,507.7
422.321,456.6
422.799,458.7
423.309,411.5
423.661,412.6
424.515,405.7
425.1,380.1
425.938,393.6
426.433,389.2
427.338,391.5
428.348,380.6
429.366,380.6
430.352,384.7
431.341,394.7
432.001,391.5
433.397,404.5
433.946,400
434.975,437.5
435.982,438.7
436.403,439
436.905,491
437.253,427.3
437.749,408.7
438.091,452
438.696,474.3
438.983,506.3
439.501,427.3
440.394,388.7
441.251,381
442.146,383.7
443.039,402.7
443.926,426.3
444.297,486
444.803,467.7
445.17,434
445.641,412.4
446.456,408.3
447.33,398
448.281,408.7
448.702,424.3
449.276,521.4
449.692,463
450.251,491.3
451.194,447.7
452.053,442
452.989,490.9
453.368,491.3
453.966,429.7
454.934,442.7
455.871,482.3
456.763,481.8
457.539,440
458.235,456
458.958,474.7
459.801,504.1
460.622,517
461.345,528
462.035,496
462.807,531.1
463.14,503.7
463.608,491.7
464.385,504.3
465.118,506.7
465.842,516.4
466.543,543.7
467.249,543
467.952,568.7
468.656,582.6
469.32,583.3
469.981,615.3
470.617,624
471.246,587.5
471.86,558.3
472.477,584
473.122,534.3
473.794,500.5
474.465,500
475.143,517
475.829,495.7
476.532,514.3
477.216,521.7
477.907,516.3
478.614,506
479.326,509.1
480.029,499.3
480.757,495.7
481.503,511.7
482.286,521.9
483.025,517.3
483.784,515.3
484.55,549
485.279,566.4
486.032,524
486.821,579.3
487.591,601.3
488.356,573.2
489.144,582
489.993,556.7
490.863,533.3
491.741,519.6
492.586,495
493.436,487
494.302,486
495.177,488.3
496.017,496.3
496.853,507
497.69,519.3
498.013,482.7
498.487,477.4
498.828,501.3
499.281,508
500.062,507.3
500.841,512.3
501.621,499.1
503.896,524
504.655,521.9
505.398,535
506.189,516
507,533.7
507.833,517.8
508.681,533.7
509.53,538
510.37,541
511.202,528.9
512.013,518.3
512.351,519.7
512.807,463.7
513.633,440.7
514.549,449.8
515.508,420.3
516.521,422.3
517.578,458
518.63,449.4
519.689,490.3
520.679,496.7
521.117,467.3
521.706,448
522.147,415.3
522.765,399.6
523.843,391
524.918,408
525.986,404.7
527.065,426.5
528.193,418.3
529.386,408.7
530.542,390
531.724,433.5
532.764,456.3
533.751,472
534.71,477.3
535.743,490.8
536.185,443
536.754,431.3
537.701,471.3
538.575,500.7
539.379,519.4
540.155,557.3
540.98,577.7
541.868,575.3
542.915,530.7
543.815,495.7
544.886,442.7
545.966,442.7
547.002,467.9
547.989,492.3
548.976,501.3
549.922,515.7
550.327,510.7
551.259,464.3
552.215,483.7
552.689,486
553.549,497
554.371,494.6
555.18,532.3
555.987,528.7
556.795,554
557.61,549.5
558.377,579
559.146,581.3
559.932,589.3
560.708,576.5
561.459,627
562.234,618
562.961,626
563.712,620
564.459,603.3
565.212,615
565.955,613
566.729,588.5
567.495,590
568.261,589
569.019,587.7
569.775,579.8
570.522,597
571.285,594
572.077,610.3
572.854,603.8
573.628,614
574.423,612
575.233,613.3
576.061,598.4
576.869,619.5
577.648,605
578.436,600
579.234,580.5
580.036,589.3
580.865,584
581.685,596.7
582.479,578.9
583.21,602
583.933,601.7
584.649,618.3
585.401,608.7
585.723,520.7
586.195,505
587.078,484.3
588.063,488.3
589.189,482.4
592.76,470.3
594.012,451.2
595.178,468
596.228,480.3
596.726,428.3
598.347,483
599.444,509.7
600.491,538.7
600.916,463
601.48,448.3
602.571,465
603.081,495.7
603.782,544
605.006,534.3
606.164,542.3
607.304,525.9
608.39,503
609.463,532.7
610.5,537.7
611.482,577.9
611.872,576.7
612.401,582.7
613.273,592.7
614.114,619.7
614.956,600.7
615.76,620.3
616.564,617
617.37,611
618.205,603.8
619.056,602.3
619.918,609.3
620.286,626.7
620.799,660.7
621.145,618.3
621.645,571.7
622.011,572.7
622.509,478.3
622.873,474
623.358,386.3
624.238,355.7
625.304,376.4
626.618,360.7
628.085,373.3
629.664,373
631.243,369.4
631.909,386.3
632.823,428.7
634.345,428.7
635.911,425.7
637.217,414.4
638.602,409
640.007,396.7
641.419,414
641.987,398.3
642.783,343.5
644.129,359.3
645.583,401.7
647.13,384.3
648.679,413.6
