,Composite CO2 record (0-800 kyr BP),Unnamed: 1
0,0-22 kyr BP:,Dome C (Monnin et al. 2001) measured at University of Bern
1,22-393 kyr BP:,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
2,393-416 kyr BP:,Dome C (Siegenthaler et al. 2005) measured at LGGE in Grenoble
3,416-664 kyr BP:,Dome C (Siegenthaler et al. 2005)  measured at University of Bern
4,664-800 kyr BP:,Dome C (Luethi et al. (sub)) measured at University of Bern
5,EDC3_gas_a (yr),CO2 (ppmv)
339,207120,240.5
340,207544,242.2
341,208064,244.6
342,208254,243.9
343,208803,247.2
344,208995,252
345,209432,246.9
346,209817,239.5
347,210154,257.4
348,210813,243.4
349,211858,251.2
350,212716,241.4
351,213270,240.3
352,213536,242.6
353,213984,247.5
354,214459,251.7
355,214794,251.1
356,215382,245.3
357,216352,240.5
358,218361,214.1
359,219116,216.1
360,220058,207.1
361,220739,208.8
362,222030,205.6
363,224269,203.3
364,224923,215.7
365,225909,235.5
366,226711,234.5
367,227027,233.1
368,227776,224.5
369,229423,232.4
370,230422,233.9
371,231066,241.6
372,234817,245.2
373,235480,252.1
374,236114,241.4
375,236734,247.4
376,237294,243.1
377,237868,239.1
378,238558,245.6
379,239013,245.8
380,239477,247.4
381,239973,252.8
382,240945,259.7
383,241366,263.2
384,242007,279
385,242346,280.2
386,243071,263.7
387,243429,252.3
388,243856,249.9
389,244347,236.7
390,244864,230.4
391,245441,219.4
392,247681,214.7
393,250133,200.2
394,251005,213.9
395,251864,195.4
396,252739,196.7
397,253636,195.4
398,255498,199
399,256309,201.9
400,257100,204
401,258661,203.9
402,260353,209.6
403,260916,205.7
404,262092,208.9
405,262930,214.6
406,264509,228.1
407,265653,199.9
408,266326,211.7
409,267442,188.7
410,268181,187.2
411,269154,194.2
412,270222,198.8
413,271256,184.7
414,272311,190.4
415,273310,193.9
416,274321,194.1
417,275350,198.4
418,276326,193.2
419,277361,202.2
420,278350,204.5
421,279320,211
422,280269,215.3
423,281758,223.7
424,283785,231.3
425,285380,228
426,286128,226.4
427,287036,231.4
428,287538,230.4
429,288233,231
430,290153,234.9
431,290730,220.4
432,291367,217.1
433,292405,207.6
434,293057,206
435,293779,206.7
436,294568,212.7
437,295930,213.1
438,297921,217.1
439,298741,224.4
440,299621,231
441,300472,236.1
442,301402,239
443,302280,236
444,303226,240.2
445,304232,240.7
446,304901,250.2
447,305655,248.6
448,306547,244.8
449,307495,225.8
450,308744,227.8
451,309389,226.2
452,310168,233.2
453,311013,237.8
454,311868,239
455,312676,241.9
456,313414,251.6
457,314144,256.7
458,314867,257.1
459,315572,246.8
460,316200,272.6
461,316897,251.6
462,317734,245.2
463,318559,233.4
464,319480,255.8
465,320358,249.2
466,322015,257.2
467,322767,260.4
468,323526,260.3
469,324280,260.5
470,324971,266.2
471,325720,264
472,326321,266.1
473,326972,270.1
474,327590,271.9
475,328221,275.1
476,329475,265
477,330208,271.7
478,330740,272.6
479,331438,273.1
480,331944,282.4
481,332285,289.1
482,332462,288.4
483,332919,298.6
484,333380,278.1
485,333890,285.8
486,334261,278.6
487,334748,270.5
488,335287,255.7
489,335918,241.9
490,336725,239.6
491,337391,234.2
492,339298,250.1
493,340456,200.7
494,341802,205.2
495,343282,204.8
496,344446,211.9
497,345980,220.3
498,348298,221.1
499,349688,216.2
500,350925,209.4
501,352275,209.2
502,355302,193
503,356898,186.1
504,358712,185.8
505,360957,201.2
506,363385,206.3
507,366235,201.9
508,367856,199.9
509,369446,214.7
510,371090,224.6
511,372646,229.6
512,376568,227
513,378096,240
514,379696,239.1
515,381132,246.8
516,382670,245.8
517,384534,258.1
518,385398,264.6
519,386144,259.2
520,388062,255.2
521,389946,250.1
522,391896,266.3
523,392544,259.5
524,393579,273.6
525,394560,260.7
526,398086,276.3
527,399722,277.1
528,400504,283.2
529,402000,283.1
530,402731,275.7
531,404181,276.5
532,404927,280.5
533,406368,279.6
534,407093,285.6
535,408600,284.5
536,409383,275.2
537,409383,274.2
538,410206,282.6
539,411071,283.5
540,412962,274.9
541,413948,264.9
542,414963,271.6
543,415717,276.4
544,416193,271.7
545,417191,273.4
546,417698,271.8
547,418245,274.6
548,419260,273.7
549,419808,271.2
550,420350,273.8
551,421484,268.6
552,422074,266.4
553,422649,270.6
554,423764,267.7
555,424332,268.3
556,424840,270.8
557,425242,270
558,425569,265.4
559,425975,255.3
560,426598,252.1
561,427285,248.2
562,427566,242.5
563,429006,219.7
564,429876,227.2
565,431063,211.5
566,431445,207.6
567,432599,209.8
568,433674,207.5
569,434804,200.3
570,435989,201.7
571,437152,201.3
572,438356,202
573,439565,199.1
574,441220,201.1
575,442411,203.5
576,443562,208.1
577,444650,201.7
578,445829,201.2
579,446984,204.9
580,448103,201.9
581,449244,198.4
582,450455,193.3
583,451593,192.5
584,452283,199.1
585,452795,204.3
586,453514,203.3
587,454023,208.3
588,455279,202.4
589,456591,195.5
590,458049,190.7
591,459430,194.4
592,460792,199.9
593,461687,205.2
594,462133,210
595,463456,208.1
596,464866,204.4
597,466265,203.4
598,467602,205.5
599,468323,206.5
600,468810,215.5
601,469470,218.7
602,469941,229.2
603,470597,232.7
604,471046,243.7
605,471763,243.9
606,472095,245.6
607,473102,241.2
608,474162,233.1
609,475218,232.8
610,476240,236.6
611,477162,239.1
612,477719,236.5
613,478124,231.3
614,478721,220.8
615,479144,218.8
616,480108,223.8
617,481035,223.4
618,481932,227.3
619,482803,231.4
620,483649,231.4
621,484465,231.2
622,485276,233
623,486043,232.9
624,486816,231.3
625,487541,237.1
626,488268,242
627,488689,240.9
628,488996,252.8
629,489475,249.3
630,489722,242.6
631,490445,243.3
632,491191,246.7
633,491959,243.7
634,492738,239.7
635,493507,239.1
636,494311,238.3
637,495085,238.5
638,495853,237.6
639,496608,236.4
640,497366,236.5
641,498104,232.8
642,498865,230.6
643,499610,230.8
644,500363,228.2
645,501130,230.8
646,501866,231.2
647,502625,232
648,503375,232.2
649,504083,234.1
650,504777,233.9
651,505516,235.5
652,506287,236
653,507011,238.2
654,507714,237
655,508476,240.3
656,509247,233.4
657,510008,236.4
658,510765,235.2
659,511515,242
660,512269,238.2
661,512997,239.2
662,513724,241.5
663,514429,243
664,515113,247.2
665,515771,246.2
666,516417,245.5
667,517069,245.3
668,517706,247.7
669,518334,245.5
670,518965,243.5
671,520892,241.9
672,521552,236.8
673,522216,235.8
674,522923,233.7
675,523666,230.3
676,524409,227.8
677,525164,224.7
678,525908,222.7
679,526661,221.2
680,527454,220.3
681,528262,220.7
682,528747,214.5
683,529101,211.4
684,529640,204.4
685,530016,200
686,530685,195.1
687,531035,193.8
688,531662,190.5
689,532119,199.8
690,533246,199.4
691,534364,205
692,535483,206.4
693,536622,212.9
694,537770,211.2
695,538959,205
696,540154,203.6
697,541345,208.1
698,542502,210.3
699,543676,209.6
700,544804,209.7
701,545956,204.6
702,547013,202.5
703,547573,208.8
704,547972,213.6
705,548933,215.2
706,549830,219.9
707,550637,221.7
708,551124,222.3
709,551452,226.3
710,551979,222.1
711,552250,220.3
712,552961,223.6
713,553626,224.3
714,554254,226.7
715,554831,233.9
716,555345,241
717,555637,243
718,555839,249.1
719,556143,244
720,556364,250.5
721,556724,245.6
722,556889,240.4
723,557385,238.1
724,557887,234.5
725,558183,229.7
726,558393,230.2
727,558929,230.3
728,559461,228.3
729,559972,231.6
730,560459,231.9
731,560930,234.6
732,561309,234.1
733,561846,240.1
734,562272,242.3
735,562690,245.7
736,563115,245.8
737,563517,247.6
738,563918,251.4
739,564311,252.4
740,564699,252.6
741,565077,251.4
742,565466,253.7
743,565851,254.3
744,566233,253.9
745,566619,254.5
746,567007,253.2
747,567381,253.9
748,567777,252.8
749,568167,253
