Depth ice/snow [m],Depth ref [m] (For EDC96 depth levels the co...),Gas age,CH4 [ppbv],CH4 std dev [±]
575.552,575.87,21.613,357.3,10
577.847,578.17,21.811,355.3,10
585.433,585.77,22.509,407.3,10
590.313,590.66,22.929,390,10
594.215,594.57,23.246,389.7,10
598.607,598.97,23.667,398,10
602.998,603.37,24.043,360,10
607.39,607.77,24.452,388.7,10
613.977,614.37,24.997,369.7,10
618.857,619.26,25.447,355,10
629.865,630.29,26.478,387,10
634.232,634.665,26.905,395.9,10
638.129,638.57,27.275,426.3,10
643.04,643.49,27.709,399,10
646.912,647.37,28.018,414,10
656.184,656.66,28.826,367.7,10
662.791,663.28,29.391,399.3,10
669.388,669.89,29.922,409.7,10
673.26,673.77,30.274,391.7,10
677.662,678.18,30.67,412,10
688.645,689.185,31.656,409.2,30
693.541,694.09,32.074,432,10
697.413,697.97,32.401,444.3,10
701.804,702.37,32.801,478.7,10
704,704.57,32.969,419,10
708.906,709.485,33.399,428,10
712.813,713.4,33.736,489,10
717.174,717.77,34.135,514.3,10
723.791,724.4,34.668,444,10
728.183,728.8,35.051,441.3,10
732.544,733.17,35.417,488.3,10
739.62,740.26,36.017,536.3,10
743.632,744.28,36.371,556.7,10
748.413,749.07,36.753,481,10
752.335,753,37.063,443,10
761.607,762.29,37.755,441.3,10
765.48,766.17,38.021,443.7,10
767.675,768.37,38.182,427,10
772.546,773.25,38.584,422.3,10
775.5,,38.821,429,10
778.654,779.37,39.113,413,10
781,,39.33,417.7,10
783.045,783.77,39.523,419.7,10
786.515,,39.857,464.7,10
792.015,,40.419,413.7,10
803.535,,41.488,470,10
808.515,,41.963,463,10
814.015,,42.441,411.3,10
819.575,,42.955,427.3,10
825.565,,43.538,461.7,10
830.515,,43.984,466.7,10
835.985,,44.466,499.3,10
842.035,,44.923,514,10
847.015,,45.278,493,10
858.045,,46.079,436.7,10
863.515,,46.528,414,10
869.015,,46.991,435,10
875.035,,47.55,464,10
886.035,,48.516,469.7,10
891.015,,48.944,493,10
896.545,,49.419,515,10
902.015,,49.897,517,10
913.02,,50.78,542.7,10
918.515,,51.229,530,10
924.015,,51.666,513,10
929.515,,52.058,438,10
940.515,,52.958,475.7,10
946.015,,53.422,460.7,10
951.54,,53.892,483,10
957.015,,54.398,546,10
968.015,,55.347,541.7,10
973.515,,55.772,519.7,10
979.015,,56.204,554,10
984.515,,56.621,523,10
995.515,,57.456,425,10
1001.015,,57.87,426.3,10
1006.515,,58.306,425.3,10
1012.015,,58.769,431.7,10
1023.015,,59.726,430,10
1028.515,,60.25,444,10
1034.015,,60.823,484,10
1039.51,,61.422,434,10
1050.515,,62.535,456.7,10
1056.505,,63.189,444,10
1061.515,,63.771,449.3,10
1067.015,,64.39,452.7,10
1078.015,,65.602,456,10
1083.515,,66.234,460,10
1089.015,,66.87,450.3,10
1094.515,,67.509,472.7,10
1105.545,,68.526,448.7,10
1111.015,,69.008,432,10
1116.515,,69.531,457.3,10
1122.015,,70.108,447.7,10
1133.015,,71.214,469,10
